SCENARIO	INSTANCE	SEC_OBJECTIVE	NUM_VEHICLES	TOTAL_TRAVEL_TIME	TOTAL_TRAVELED_DISTANCE	CONFIGURATION
A1	c101	TravelTime	10	685.237374194876	828.936866942834	0;20;24;25;27;29;30;28;26;23;22;21;0;0;67;65;63;62;74;72;61;64;68;66;69;0;0;5;3;7;8;10;11;9;6;4;2;1;75;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;90;87;86;83;82;84;85;88;89;91;0;0;98;96;95;94;92;93;97;100;99;0;0;13;17;18;19;15;16;14;12;0;0;32;33;31;35;37;38;39;36;34;0;0;57;55;54;53;56;58;60;59;0;0;81;78;76;71;70;73;77;79;80;0
A1	c102	TravelTime	10	683.264919293368	835.460586670674	0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;20;24;25;27;29;30;28;26;23;22;21;0;0;75;1;2;8;10;11;9;6;4;7;0;0;98;96;95;94;92;93;97;100;99;5;0;0;81;78;76;71;70;73;77;79;80;0;0;90;87;86;83;82;84;85;88;89;91;0;0;13;17;18;19;15;16;14;12;3;0;0;32;33;31;35;37;38;39;36;34;0;0;57;55;54;53;56;58;60;59;0;0;67;65;63;62;74;72;61;64;68;66;69;0
A1	c103	TravelTime	10	681.881568495825	835.460586670674	0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;13;17;18;19;15;16;14;12;3;0;0;20;24;25;27;29;30;28;26;23;22;21;0;0;90;87;86;83;82;84;85;88;89;91;0;0;55;54;53;56;58;60;59;57;0;0;98;96;95;94;92;93;97;100;99;5;0;0;81;78;76;71;70;73;77;79;80;0;0;32;33;31;35;37;38;39;36;34;0;0;75;1;2;8;10;11;9;6;4;7;0;0;67;65;63;62;74;72;61;64;68;66;69;0
A1	c104	TravelTime	10	679.9375787331	833.879290121234	0;90;87;86;83;82;84;85;88;89;91;0;0;5;3;7;8;6;11;9;2;4;75;0;0;13;17;18;19;15;16;14;12;10;0;0;32;33;31;35;38;37;39;36;34;0;0;20;24;25;27;29;30;28;26;23;22;21;0;0;67;65;63;62;74;72;61;64;68;66;69;0;0;98;96;95;94;92;93;97;100;99;1;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;55;54;53;56;58;60;59;57;0;0;81;78;76;71;70;73;77;79;80;0
A1	c105	TravelTime	10	682.834624186399	833.011290345582	0;67;65;63;62;74;72;61;64;68;66;69;0;0;81;78;76;71;70;73;77;79;80;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;90;87;86;83;82;84;85;88;89;91;0;0;5;3;7;8;10;11;9;6;4;2;75;0;0;20;24;25;27;29;30;28;26;22;21;0;0;32;33;31;35;37;38;39;36;34;0;0;98;96;95;94;92;93;97;100;99;1;0;0;13;17;18;19;15;16;14;12;23;0;0;57;55;54;53;56;58;60;59;0
A1	c106	TravelTime	10	685.237374194876	828.936866942834	0;20;24;25;27;29;30;28;26;23;22;21;0;0;5;3;7;8;10;11;9;6;4;2;1;75;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;32;33;31;35;37;38;39;36;34;0;0;57;55;54;53;56;58;60;59;0;0;81;78;76;71;70;73;77;79;80;0;0;98;96;95;94;92;93;97;100;99;0;0;67;65;63;62;74;72;61;64;68;66;69;0;0;13;17;18;19;15;16;14;12;0;0;90;87;86;83;82;84;85;88;89;91;0
A1	c107	TravelTime	10	682.834624186399	833.011290345582	0;57;55;54;53;56;58;60;59;0;0;81;78;76;71;70;73;77;79;80;0;0;5;3;7;8;10;11;9;6;4;2;75;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;32;33;31;35;37;38;39;36;34;0;0;13;17;18;19;15;16;14;12;23;0;0;20;24;25;27;29;30;28;26;22;21;0;0;98;96;95;94;92;93;97;100;99;1;0;0;67;65;63;62;74;72;61;64;68;66;69;0;0;90;87;86;83;82;84;85;88;89;91;0
A1	c108	TravelTime	10	680.740576675506	833.028823892347	0;67;65;63;62;74;72;61;64;68;66;69;0;0;32;33;31;35;37;38;39;36;34;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;90;87;86;83;82;84;85;88;89;91;0;0;13;17;18;19;15;16;14;12;4;0;0;98;96;95;94;92;93;97;100;99;1;0;0;57;55;54;53;56;58;60;59;0;0;20;24;25;27;29;30;28;26;23;22;21;0;0;81;78;76;71;70;73;77;79;80;0;0;5;3;7;8;10;11;9;6;2;75;0
A1	c109	TravelTime	10	680.740576675506	833.028823892347	0;57;55;54;53;56;58;60;59;0;0;67;65;63;62;74;72;61;64;68;66;69;0;0;5;3;7;8;10;11;9;6;2;75;0;0;43;42;41;40;44;46;45;48;51;50;52;49;47;0;0;90;87;86;83;82;84;85;88;89;91;0;0;98;96;95;94;92;93;97;100;99;1;0;0;13;17;18;19;15;16;14;12;4;0;0;32;33;31;35;37;38;39;36;34;0;0;81;78;76;71;70;73;77;79;80;0;0;20;24;25;27;29;30;28;26;23;22;21;0
A1	c201	TravelTime	3	502.895305972476	591.556556671502	0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;84;86;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0;0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;19;16;14;12;15;17;13;25;9;11;10;8;21;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;43;42;41;48;0
A1	c202	TravelTime	3	502.895305972476	591.556556671501	0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;19;16;14;12;15;17;13;25;9;11;10;8;21;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;43;42;41;48;0;0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;84;86;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0
A1	c203	TravelTime	3	502.046201823936	591.173442780631	0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;84;86;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;42;41;43;48;0;0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;19;16;14;12;15;17;13;25;9;11;10;8;21;0
A1	c204	TravelTime	3	500.844100017583	590.96691544429	0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;17;18;19;16;14;12;15;13;25;9;11;10;8;21;0;0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;84;86;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;42;41;43;48;0
A1	c205	TravelTime	3	500.342359288592	588.875962653424	0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;86;84;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0;0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;19;16;14;12;15;17;13;25;9;11;10;8;21;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;43;42;41;48;0
A1	c206	TravelTime	3	499.493255140052	588.492848762554	0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;42;41;43;48;0;0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;19;16;14;12;15;17;13;25;9;11;10;8;21;0;0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;86;84;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0
A1	c207	TravelTime	3	498.326847839592	588.323800657399	0;93;5;75;2;1;99;100;97;92;94;95;98;7;3;4;89;91;88;86;84;83;82;85;76;71;70;73;80;79;81;78;77;96;87;90;0;0;67;63;62;74;72;61;64;66;69;68;65;49;55;54;53;56;58;60;59;57;40;44;46;45;51;50;52;47;42;41;43;48;0;0;20;22;24;27;30;29;6;32;33;31;35;37;38;39;36;34;28;26;23;18;17;19;16;14;12;15;13;25;9;11;10;8;21;0
