SCENARIO	INSTANCE	SEC_OBJECTIVE	NUM_VEHICLES	TOTAL_TRAVEL_TIME	TOTAL_TRAVELED_DISTANCE	CONFIGURATION
A1	c101	Distance	12	947.770537816412	1053.82681148213	D0;C19;C23;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;C97;C1;C3;C5;C6;C2;C4;D0;D0;C74;C0;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C22;C28;C31;C32;C30;S0;C50;C49;C48;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C66;C64;C61;C63;C67;C68;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;D0;D0;C62;C73;S0;C78;C76;C79;C71;C60;C65;D0
A1	c101	TravelTime	12	913.536036759492	1070.40494717362	D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;C74;C0;C97;C1;C3;C5;C6;C2;C4;D0;D0;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;S0;C95;C94;C93;C91;C92;C96;C99;C98;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C19;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C22;C23;C28;C31;C32;C30;S0;C50;C49;C48;D0;D0;C89;S0;S0;C72;C69;C70;C75;C77;C80;D0;D0;C66;C64;C63;C67;C68;D0;D0;C62;C73;C61;S0;C78;C76;C79;C71;C60;C65;D0
A1	c102	Distance	11	949.181928506312	1049.1856150534	D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;C50;C49;C48;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C19;C31;C33;C35;C38;C37;C36;C34;C30;S0;C51;D0;D0;C66;C64;C61;C63;C67;C68;S0;C9;C10;C8;C7;D0;D0;C22;C11;C13;C15;C18;C17;C16;C14;S0;C12;D0;D0;C20;C21;C24;C26;C32;C27;C29;C25;S0;C28;C23;D0;D0;C74;C0;C1;C3;C5;C6;C2;C4;D0;D0;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C62;C73;S0;C78;C76;C79;C71;C60;C65;D0
A1	c102	TravelTime	11	908.24931139563	1067.76324622757	D0;C64;C62;S0;C78;C76;C79;S0;C71;C60;C65;D0;D0;C89;S0;S0;C72;C69;C70;C75;C77;C80;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C0;C11;C13;C15;C18;C17;C16;C14;S0;C12;D0;D0;C20;C23;C28;C31;C32;C27;C25;C21;C19;D0;D0;C66;C73;C61;C63;C67;C68;S0;C9;C10;C8;C7;D0;D0;C22;C24;C26;C74;C1;C3;C5;C6;C2;C4;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C29;S0;C33;C35;C38;C37;C36;C34;C30;C51;D0;D0;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;C50;C49;C48;D0
A1	c103	Distance	11	899.55668366115	1001.81432875829	D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;C67;C63;C68;D0;D0;C73;S0;C72;C69;C70;C75;C77;C80;S0;C61;D0;D0;C89;C86;C85;C82;C81;C83;C84;C87;C88;C90;D0;D0;C66;C64;C62;S0;C78;C76;C79;C71;C60;C65;D0;D0;C19;C23;C28;C31;C32;C30;C51;C48;D0;D0;C22;C29;C33;C35;C38;C37;C36;C34;S0;C50;C49;D0;D0;C74;C0;C1;C3;C5;C6;C2;C4;D0;D0;C20;C21;C24;C26;C27;C25;C9;C10;C8;C7;D0;D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0
A1	c103	TravelTime	10	913.819468715158	1069.66953180462	D0;S0;C11;C13;C15;C18;C17;C16;C14;C12;D0;D0;C19;C20;C21;C6;C2;C1;C3;C5;C9;C10;C8;C7;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C58;C59;C57;C55;C52;S0;C53;C71;C60;C63;D0;D0;C89;C86;C85;C82;S0;C81;C83;C84;C87;C90;C4;C74;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;C68;C61;C65;D0;D0;C62;C64;C66;S0;C78;C76;C79;S0;C54;C56;C67;D0;D0;C22;C23;C24;C26;S0;C27;C29;C25;C31;C30;C51;C48;D0;D0;S0;C49;C50;S0;C32;C37;C36;C34;C38;C35;C33;C28;D0;D0;C73;S0;C72;C69;C70;C75;C77;C80;S0;C88;D0
A1	c104	Distance	10	838.951478013635	944.537119915377	D0;S0;C11;C13;C15;C14;C18;C17;C16;C12;C22;D0;D0;C6;C2;C4;C74;C0;C1;C3;C5;C9;C10;C8;C7;D0;D0;C88;C87;C84;C83;C82;C81;S0;C80;C85;C86;C89;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C62;C73;C61;C64;C66;C68;C67;C63;C71;C60;C65;D0;D0;C40;C39;C43;C44;C47;C50;C49;C45;C41;C42;C46;C48;D0;D0;S0;C79;C72;C69;C70;C75;C77;C76;C78;S0;D0;D0;C24;C33;C35;C38;C37;C36;C34;C30;C51;S0;D0;D0;C90;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C19;C23;C26;C32;C31;C28;C29;C27;C25;C21;C20;D0
A1	c104	TravelTime	10	814.03328435555	985.361335156018	D0;C65;C61;C71;S0;C79;C78;C76;C80;C62;C64;C66;D0;D0;S0;C11;C13;C15;C14;C18;C17;C16;C12;C22;D0;D0;S0;C51;C49;C50;S0;C59;C57;C55;C52;C53;C54;C67;C68;D0;D0;C6;C2;C4;C74;C1;C3;C5;C9;C10;C8;C7;D0;D0;C25;C27;C29;S0;C38;C37;C36;C34;C30;C31;D0;D0;C0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C73;S0;C72;C69;C70;C75;C77;S0;C60;C63;D0;D0;C90;C88;C87;C84;C83;C81;C82;C85;C86;C89;D0;D0;S0;C58;C56;C39;C40;C41;C43;C44;C47;C42;C45;C48;C46;D0;D0;C20;C21;C24;C26;C32;C35;C33;C28;C23;C19;D0
A1	c105	Distance	11	954.288579521087	1066.65021002629	D0;S0;C63;C67;C68;C1;C3;C5;C6;C2;C4;D0;D0;C19;C23;C33;C35;C38;C37;C36;C34;S0;C51;D0;D0;C66;C73;S0;C72;C69;C70;C75;C77;C80;S0;D0;D0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C74;C22;C28;C31;C32;C30;S0;C50;C49;C48;D0;D0;C64;C62;C61;S0;C78;C76;C79;C71;C60;C65;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C0;C11;C13;C15;C18;C17;C16;C14;S0;C12;D0;D0;C89;C86;C85;C81;C82;C83;C84;C87;C88;C90;D0;D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;C40;C39;C41;C43;C44;C47;C45;C46;C42;D0
A1	c105	TravelTime	11	938.055193473653	1083.57043173952	D0;C20;C21;C24;C26;C29;C27;C25;C9;C10;C8;C7;D0;D0;S0;C58;C59;C57;C55;C52;S0;C53;C54;C56;D0;D0;C86;S0;S0;C72;C69;C70;C75;C77;C80;D0;D0;C97;C95;C94;C93;C91;C92;C96;C99;C98;S0;D0;D0;C40;S0;C63;C67;C68;C1;C3;C5;C6;C2;C4;D0;D0;C22;C23;C28;C31;C32;C30;S0;C50;C49;C51;C48;D0;D0;C19;C33;C35;C38;C37;C36;C34;S0;D0;D0;C74;C89;C85;S0;C81;C82;C83;C84;C87;C88;C90;D0;D0;C62;C73;C61;S0;C78;C76;C79;C71;C60;C65;D0;D0;C0;C11;C13;C15;C18;C17;C16;C14;S0;C12;D0;D0;C66;C64;C39;C41;C43;C44;C47;C45;C46;C42;D0
